"","workerid","noun","nounclass","predicateposition","predicate","correctresponse","correctclass","response"
"1","vi. 45","manzana","food","predicate1","morado",0.93,"color",0.07
"2","vi. 45","zanahoria","food","predicate1","marr&oacute;n",0.01,"color",0.99
"3","vi. 45","ventilador","furniture","predicate1","mexicano",0.96,"nationality",0.04
"4","vi. 45","zanahoria","food","predicate1","nuevo",0.97,"age",0.03
"5","vi. 45","tomate","food","predicate1","verde",0.94,"color",0.0600000000000001
"6","vi. 45","manzana","food","predicate1","bueno",0.85,"quality",0.15
"7","vi. 45","queso","food","predicate1","duro",0.01,"texture",0.99
"8","vi. 45","televisi&oacute;n ","furniture","predicate1","bueno",0.04,"quality",0.96
"9","vi. 45","tomate","food","predicate1","nuevo",0.92,"age",0.08
"10","vi. 45","tomate","food","predicate1","min&uacute;sculo",0.07,"size",0.93
"11","vi. 45","ventilador","furniture","predicate1","mexicano",0.07,"nationality",0.93
"12","vi. 45","zanahoria","food","predicate1","suave",0.03,"texture",0.97
"13","vi. 45","sof&aacute; ","furniture","predicate1","nuevo",0.14,"age",0.86
"14","vi. 45","pl&aacute;tano","food","predicate1","azul",0.07,"color",0.93
"15","vi. 45","sof&aacute; ","furniture","predicate1","cuadrado",0.02,"shape",0.98
"16","vi. 45","televisi&oacute;n ","furniture","predicate1","morado",0.12,"color",0.88
"17","vi. 45","zanahoria","food","predicate1","corto",0.09,"size",0.91
"18","vi. 45","silla","furniture","predicate1","morado",0.13,"color",0.87
"19","vi. 45","tomate","food","predicate1","podrido",0.05,"age",0.95
"20","vi. 45","silla","furniture","predicate1","min&uacute;sculo",0.06,"size",0.94
"21","vi. 45","televisi&oacute;n ","furniture","predicate1","min&uacute;sculo",0.05,"size",0.95
"22","vi. 45","queso","food","predicate1","bueno",0.04,"quality",0.96
"23","vi. 45","sof&aacute; ","furniture","predicate1","peque&ntilde;o",0.04,"size",0.96
"24","vi. 45","manzana","food","predicate1","grande",0.01,"size",0.99
"25","vi. 45","escritorio","furniture","predicate1","bueno",0.02,"quality",0.98
"26","vi. 45","manzana","food","predicate1","enorme",0.02,"size",0.98
"27","vi. 46","sof&aacute; ","furniture","predicate1","suave",0.75,"texture",0.25
"28","vi. 46","silla","furniture","predicate1","largo",0.01,"size",0.99
"29","vi. 46","sof&aacute; ","furniture","predicate1","viejo",0.04,"age",0.96
"30","vi. 46","zanahoria","food","predicate1","largo",0.28,"size",0.72
"31","vi. 46","pl&aacute;tano","food","predicate1","morado",0.8,"color",0.2
"32","vi. 46","zanahoria","food","predicate1","fresco",0.8,"age",0.2
"33","vi. 46","escritorio","furniture","predicate1","largo",0.97,"size",0.03
"34","vi. 46","queso","food","predicate1","corto",0.75,"size",0.25
"35","vi. 46","tomate","food","predicate1","duro",0.65,"texture",0.35
"36","vi. 46","zanahoria","food","predicate1","americano",0.96,"nationality",0.04
"37","vi. 46","pl&aacute;tano","food","predicate1","rojo",0.77,"color",0.23
"38","vi. 46","queso","food","predicate1","mexicano",0.63,"nationality",0.37
"39","vi. 46","televisi&oacute;n ","furniture","predicate1","min&uacute;sculo",0.97,"size",0.03
"40","vi. 46","pl&aacute;tano","food","predicate1","verde",0.99,"color",0.01
"41","vi. 46","manzana","food","predicate1","liso",0.01,"texture",0.99
"42","vi. 46","televisi&oacute;n ","furniture","predicate1","azul",0.84,"color",0.16
"43","vi. 46","escritorio","furniture","predicate1","suave",0.3,"texture",0.7
"44","vi. 46","televisi&oacute;n ","furniture","predicate1","suave",0.03,"texture",0.97
"45","vi. 46","escritorio","furniture","predicate1","nuevo",0.96,"age",0.04
"46","vi. 46","silla","furniture","predicate1","rojo",0.83,"color",0.17
"47","vi. 46","pl&aacute;tano","food","predicate1","espa&ntilde;ol",0.4,"nationality",0.6
"48","vi. 46","manzana","food","predicate1","mexicano",0.76,"nationality",0.24
"49","vi. 46","manzana","food","predicate1","largo",0.33,"size",0.67
"50","vi. 46","sof&aacute; ","furniture","predicate1","nuevo",0.03,"age",0.97
"51","vi. 46","queso","food","predicate1","cuadrado",0.97,"shape",0.03
"52","vi. 46","televisi&oacute;n ","furniture","predicate1","liso",0,"texture",1
"53","vi. 63","manzana","food","predicate1","redondo",0.73,"shape",0.27
"54","vi. 63","silla","furniture","predicate1","duro",0.73,"texture",0.27
"55","vi. 63","zanahoria","food","predicate1","duro",0.75,"texture",0.25
"56","vi. 63","televisi&oacute;n ","furniture","predicate1","largo",0.71,"size",0.29
"57","vi. 63","sof&aacute; ","furniture","predicate1","min&uacute;sculo",0.71,"size",0.29
"58","vi. 63","pl&aacute;tano","food","predicate1","morado",0.73,"color",0.27
"59","vi. 63","zanahoria","food","predicate1","peque&ntilde;o",0.21,"size",0.79
"60","vi. 63","zanahoria","food","predicate1","grande",0.74,"size",0.26
"61","vi. 63","ventilador","furniture","predicate1","largo",0.76,"size",0.24
"62","vi. 63","zanahoria","food","predicate1","verde",0.8,"color",0.2
"63","vi. 63","sof&aacute; ","furniture","predicate1","viejo",0.18,"age",0.82
"64","vi. 63","sof&aacute; ","furniture","predicate1","nuevo",0.78,"age",0.22
"65","vi. 63","sof&aacute; ","furniture","predicate1","podrido",0.2,"age",0.8
"66","vi. 63","ventilador","furniture","predicate1","podrido",0.78,"age",0.22
"67","vi. 63","pl&aacute;tano","food","predicate1","suave",0.74,"texture",0.26
"68","vi. 63","zanahoria","food","predicate1","enorme",0.78,"size",0.22
"69","vi. 63","silla","furniture","predicate1","podrido",0.72,"age",0.28
"70","vi. 63","tomate","food","predicate1","duro",0.76,"texture",0.24
"71","vi. 63","ventilador","furniture","predicate1","malo",0.21,"quality",0.79
"72","vi. 63","sof&aacute; ","furniture","predicate1","fresco",0.73,"age",0.27
"73","vi. 63","queso","food","predicate1","corto",0.23,"size",0.77
"74","vi. 63","manzana","food","predicate1","suave",0.8,"texture",0.2
"75","vi. 63","zanahoria","food","predicate1","grande",0.73,"size",0.27
"76","vi. 63","ventilador","furniture","predicate1","mexicano",0.34,"nationality",0.66
"77","vi. 63","sof&aacute; ","furniture","predicate1","verde",0.71,"color",0.29
"78","vi. 63","escritorio","furniture","predicate1","morado",0.26,"color",0.74
"79","vi. 64","zanahoria","food","predicate1","nuevo",0.3,"age",0.7
"80","vi. 64","manzana","food","predicate1","americano",0.74,"nationality",0.26
"81","vi. 64","queso","food","predicate1","amarillo",0.24,"color",0.76
"82","vi. 64","ventilador","furniture","predicate1","nuevo",0.75,"age",0.25
"83","vi. 64","pl&aacute;tano","food","predicate1","rojo",0.75,"color",0.25
"84","vi. 64","pl&aacute;tano","food","predicate1","duro",0.6,"texture",0.4
"85","vi. 64","ventilador","furniture","predicate1","enorme",0.13,"size",0.87
"86","vi. 64","zanahoria","food","predicate1","fresco",0.11,"age",0.89
"87","vi. 64","sof&aacute; ","furniture","predicate1","peque&ntilde;o",0.91,"size",0.09
"88","vi. 64","sof&aacute; ","furniture","predicate1","amarillo",0.95,"color",0.05
"89","vi. 64","manzana","food","predicate1","corto",0.81,"size",0.19
"90","vi. 64","escritorio","furniture","predicate1","bueno",0.8,"quality",0.2
"91","vi. 64","escritorio","furniture","predicate1","americano",0.13,"nationality",0.87
"92","vi. 64","queso","food","predicate1","verde",0.84,"color",0.16
"93","vi. 64","zanahoria","food","predicate1","viejo",0.2,"age",0.8
"94","vi. 64","ventilador","furniture","predicate1","malo",0.17,"quality",0.83
"95","vi. 64","televisi&oacute;n ","furniture","predicate1","malo",0.24,"quality",0.76
"96","vi. 64","tomate","food","predicate1","peque&ntilde;o",0.83,"size",0.17
"97","vi. 64","sof&aacute; ","furniture","predicate1","min&uacute;sculo",0.75,"size",0.25
"98","vi. 64","escritorio","furniture","predicate1","americano",0.64,"nationality",0.36
"99","vi. 64","ventilador","furniture","predicate1","suave",0.73,"texture",0.27
"100","vi. 64","queso","food","predicate1","largo",0.8,"size",0.2
"101","vi. 64","silla","furniture","predicate1","espa&ntilde;ol",0.88,"nationality",0.12
"102","vi. 64","pl&aacute;tano","food","predicate1","morado",0.88,"color",0.12
"103","vi. 64","manzana","food","predicate1","duro",0.13,"texture",0.87
"104","vi. 64","escritorio","furniture","predicate1","enorme",0.13,"size",0.87
"105","vi. 65","sof&aacute; ","furniture","predicate1","suave",0.5,"texture",0.5
"106","vi. 65","tomate","food","predicate1","peque&ntilde;o",0.38,"size",0.62
"107","vi. 65","queso","food","predicate1","liso",0.26,"texture",0.74
"108","vi. 65","manzana","food","predicate1","liso",0.33,"texture",0.67
"109","vi. 65","ventilador","furniture","predicate1","largo",0.25,"size",0.75
"110","vi. 65","sof&aacute; ","furniture","predicate1","grande",0.81,"size",0.19
"111","vi. 65","televisi&oacute;n ","furniture","predicate1","largo",0.47,"size",0.53
"112","vi. 65","manzana","food","predicate1","marr&oacute;n",0.16,"color",0.84
"113","vi. 65","escritorio","furniture","predicate1","largo",0.28,"size",0.72
"114","vi. 65","silla","furniture","predicate1","min&uacute;sculo",0.48,"size",0.52
"115","vi. 65","pl&aacute;tano","food","predicate1","malo",0.5,"quality",0.5
"116","vi. 65","silla","furniture","predicate1","espa&ntilde;ol",0.66,"nationality",0.34
"117","vi. 65","pl&aacute;tano","food","predicate1","nuevo",0.29,"age",0.71
"118","vi. 65","pl&aacute;tano","food","predicate1","redondo",0.31,"shape",0.69
"119","vi. 65","silla","furniture","predicate1","bueno",0.5,"quality",0.5
"120","vi. 65","silla","furniture","predicate1","nuevo",0.47,"age",0.53
"121","vi. 65","ventilador","furniture","predicate1","marr&oacute;n",0.32,"color",0.68
