workerid,firstutterance,predicate,noun,gender,class,nounclass,slide_number,copula,response
0,es,redondo,escritorio,masculine,shape,furniture,3,ser,0
0,no es,verde,escritorio,masculine,color,furniture,4,ser,0
0,es,enorme,tomate,masculine,size,food,5,ser,0
0,no es,viejo,sof&aacute; ,masculine,age,furniture,6,ser,0
0,es,min&uacute;sculo,manzana,feminine,size,food,7,ser,0
0,es,duro,ventilador,masculine,texture,furniture,8,ser,0
0,es,cuadrado,tomate,masculine,shape,food,9,ser,0
0,es,bueno,queso,masculine,quality,food,10,ser,0
0,no es,corto,ventilador,masculine,size,furniture,11,ser,0
0,es,rojo,tomate,masculine,color,food,12,ser,0
0,no es,azul,silla,feminine,color,furniture,13,ser,0
0,no es,grande,queso,masculine,size,food,14,ser,0
0,es,espa&ntilde;ol,silla,feminine,nationality,furniture,15,ser,0
0,no es,liso,ventilador,masculine,texture,furniture,16,ser,0
0,no es,nuevo,manzana,feminine,age,food,17,ser,0
0,no es,morado,manzana,feminine,color,food,18,ser,0
0,es,mexicano,sof&aacute; ,masculine,nationality,furniture,19,ser,0
0,no es,suave,manzana,feminine,texture,food,20,ser,0
0,es,americano,ventilador,masculine,nationality,furniture,21,ser,0
0,es,fresco,tomate,masculine,age,food,22,ser,0
0,no es,amarillo,escritorio,masculine,color,furniture,23,ser,0
0,es,largo,televisi&oacute;n ,feminine,size,furniture,24,ser,0
0,es,marr&oacute;n,ventilador,masculine,color,furniture,25,ser,0
0,no es,malo,queso,masculine,quality,food,26,ser,0
0,es,peque&ntilde;o,silla,feminine,size,furniture,27,ser,0
0,est&aacute;,podrido,silla,feminine,age,furniture,28,estar,0
1,es,largo,pl&aacute;tano,masculine,size,food,3,ser,0.3
1,es,rojo,queso,masculine,color,food,4,ser,0.01
1,es,amarillo,sof&aacute; ,masculine,color,furniture,5,ser,0.01
1,es,cuadrado,tomate,masculine,shape,food,6,ser,0.03
1,es,corto,silla,feminine,size,furniture,7,ser,0.02
1,no es,bueno,queso,masculine,quality,food,8,ser,0.95
1,es,espa&ntilde;ol,tomate,masculine,nationality,food,9,ser,0.06
1,no es,min&uacute;sculo,zanahoria,feminine,size,food,10,ser,0.94
1,no es,marr&oacute;n,zanahoria,feminine,color,food,11,ser,0.97
1,es,verde,silla,feminine,color,furniture,12,ser,0.04
1,no es,enorme,queso,masculine,size,food,13,ser,0.05
1,no es,peque&ntilde;o,silla,feminine,size,furniture,14,ser,0.07
1,no es,viejo,pl&aacute;tano,masculine,age,food,15,ser,0.05
1,no es,fresco,pl&aacute;tano,masculine,age,food,16,ser,0.99
1,es,morado,escritorio,masculine,color,furniture,17,ser,0.04
1,est&aacute;,podrido,manzana,feminine,age,food,18,estar,0.04
1,no es,mexicano,escritorio,masculine,nationality,furniture,19,ser,0.09
1,no es,grande,escritorio,masculine,size,furniture,20,ser,0.04
1,no es,suave,zanahoria,feminine,texture,food,21,ser,0.06
1,no es,nuevo,televisi&oacute;n ,feminine,age,furniture,22,ser,0.06
1,es,malo,escritorio,masculine,quality,furniture,23,ser,0.03
1,no es,duro,televisi&oacute;n ,feminine,texture,furniture,24,ser,0.74
1,no es,liso,ventilador,masculine,texture,furniture,25,ser,0.11
1,es,redondo,zanahoria,feminine,shape,food,26,ser,0.06
1,no es,americano,escritorio,masculine,nationality,furniture,27,ser,0.66
1,no es,azul,tomate,masculine,color,food,28,ser,0.02
2,no es,azul,ventilador,masculine,color,furniture,3,ser,0.08
2,es,fresco,zanahoria,feminine,age,food,4,ser,0.03
2,es,americano,zanahoria,feminine,nationality,food,5,ser,0
2,no es,min&uacute;sculo,tomate,masculine,size,food,6,ser,0.03
2,es,redondo,silla,feminine,shape,furniture,7,ser,0
2,es,marr&oacute;n,televisi&oacute;n ,feminine,color,furniture,8,ser,0.04
2,es,nuevo,queso,masculine,age,food,9,ser,0.49
2,es,corto,escritorio,masculine,size,furniture,10,ser,0.98
2,no es,verde,zanahoria,feminine,color,food,11,ser,0.98
2,es,viejo,televisi&oacute;n ,feminine,age,furniture,12,ser,0.98
2,es,espa&ntilde;ol,ventilador,masculine,nationality,furniture,13,ser,0.54
2,no es,amarillo,escritorio,masculine,color,furniture,14,ser,0.96
2,est&aacute;,podrido,silla,feminine,age,furniture,15,estar,0.55
2,no es,grande,escritorio,masculine,size,furniture,16,ser,0.95
2,es,malo,tomate,masculine,quality,food,17,ser,0.89
2,es,morado,manzana,feminine,color,food,18,ser,0
2,no es,peque&ntilde;o,tomate,masculine,size,food,19,ser,0.96
2,es,cuadrado,escritorio,masculine,shape,furniture,20,ser,0.98
2,es,mexicano,zanahoria,feminine,nationality,food,21,ser,0.52
2,no es,liso,tomate,masculine,texture,food,22,ser,0.96
2,no es,bueno,escritorio,masculine,quality,furniture,23,ser,0.97
2,no es,enorme,tomate,masculine,size,food,24,ser,0.98
2,es,rojo,sof&aacute; ,masculine,color,furniture,25,ser,0.95
2,es,largo,ventilador,masculine,size,furniture,26,ser,0.97
2,es,duro,televisi&oacute;n ,feminine,texture,furniture,27,ser,0.99
2,no es,suave,tomate,masculine,texture,food,28,ser,0.98
3,no es,redondo,queso,masculine,shape,food,3,ser,0.84
3,es,min&uacute;sculo,zanahoria,feminine,size,food,4,ser,1
3,es,cuadrado,ventilador,masculine,shape,furniture,5,ser,1
3,no es,duro,sof&aacute; ,masculine,texture,furniture,6,ser,1
3,es,peque&ntilde;o,tomate,masculine,size,food,7,ser,0.96
3,no es,enorme,pl&aacute;tano,masculine,size,food,8,ser,1
3,no es,liso,escritorio,masculine,texture,furniture,9,ser,1
3,es,amarillo,sof&aacute; ,masculine,color,furniture,10,ser,1
3,no es,americano,televisi&oacute;n ,feminine,nationality,furniture,11,ser,1
